Feature,Feature_Value,SHAP_Value,Absolute_SHAP
Income,-1.5795345178954412,0.8161561,0.8161561
Age,0.7005692659772784,-0.6141799,0.6141799
InterestRate,-0.6784933214560912,-0.4558201,0.4558201
MonthsEmployed,1.2255764960617528,-0.42709073,0.42709073
LoanAmount,-0.5706174721737083,-0.32989532,0.32989532
CreditScore,1.3513583962210995,-0.19387664,0.19387664
NumCreditLines,1.3419367733867231,0.19294082,0.19294082
HasMortgage_Yes,True,-0.10365079,0.10365079
HasDependents_Yes,True,-0.10306414,0.10306414
HasCoSigner_Yes,False,0.09241614,0.09241614
EmploymentType_Unemployed,False,-0.08622905,0.08622905
EmploymentType_Self-employed,False,-0.08439982,0.08439982
LoanPurpose_Home,False,0.06814283,0.06814283
EmploymentType_Part-time,False,-0.05105166,0.05105166
Education_Master's,True,-0.047084253,0.047084253
Education_PhD,False,0.045426145,0.045426145
MaritalStatus_Married,False,0.04287215,0.04287215
Education_High School,False,-0.027562972,0.027562972
LoanPurpose_Education,True,-0.014332906,0.014332906
MaritalStatus_Single,True,-0.009299758,0.009299758
LoanTerm,-0.7086854754526906,0.009036608,0.009036608
DTIRatio,0.6486680425901756,0.007443241,0.007443241
LoanPurpose_Business,False,-0.005148665,0.005148665
LoanPurpose_Other,False,0.0004850174,0.0004850174
